area_type,price,total_sqft,location,size,availability,bath,balcony,SwimmingPool,society,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Refrigerator
Super built-up  Area,30000000,3340,JP Nagar Phase 1,2 BHK,19-Dec,2,1,1,Coomee ,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Plot  Area,7888000,1045,Dasarahalli on Tumkur Road,4 Bedroom,Ready To Move,5,1,1,Theanmp,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,4866000,1179,Kannur on Thanisandra Main Road,3 BHK,Ready To Move,2,1,1,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8358000,1675,Doddanekundi,3 BHK,Ready To Move,3,0,0,Soiewre,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,6845000,1670,Kengeri,2 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,6797000,1220,Horamavu,2 BHK,Ready To Move,2,1,1,DuenaTa,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,20000000,2502,Thanisandra,4 BHK,18-May,4,1,1,Jaades ,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7105000,1438,Ramamurthy Nagar,4 BHK,Ready To Move,4,1,0,Brway G,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,8405000,1405,Whitefield Hope Farm Junction,3 BHK,Ready To Move,3,1,1,,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Plot  Area,3506000,660,Electronic City Phase 1,6 Bedroom,Ready To Move,6,1,1,,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,7700000,1362,Yelahanka,3 BHK,18-Feb,2,1,1,,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,9369000,1735,Anjanapura,4 Bedroom,Ready To Move,5,1,1,Prrry M,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,8716000,1575,Jalahalli,2 BHK,Ready To Move,2,1,1,Shncyes,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Built-up  Area,5394000,1120,Kasavanahalli,2 BHK,Ready To Move,2,1,1,,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Plot  Area,6367000,1415,Whitefield Hope Farm Junction,3 Bedroom,Ready To Move,3,1,1,Skityer,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,5080000,1270,Bommasandra,2 BHK,Ready To Move,2,1,1,PrntaEn,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7209999,1311,Bellandur,3 BHK,Ready To Move,3,1,1,Prityel,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,5700000,1210,RR Nagar,3 BHK,Ready To Move,3,1,1,GrrvaGr,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,30000000,3340,JP Nagar Phase 1,3 BHK,Ready To Move,4,1,1,PeBayle,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,7888000,1045,Dasarahalli on Tumkur Road,2 BHK,Ready To Move,2,1,1,,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Built-up  Area,4866000,1179,Kannur on Thanisandra Main Road,1 BHK,Ready To Move,1,1,1,,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,8358000,1675,Doddanekundi,3 BHK,19-Dec,3,0,0,She 2rk,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Plot  Area,6845000,1670,Kengeri,4 Bedroom,Ready To Move,5,1,1,Soitya ,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,6797000,1220,Horamavu,3 BHK,Ready To Move,3,1,1,,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,20000000,2502,Thanisandra,1 RK,18-Nov,1,1,1,Bhe 2ko,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,7105000,1438,Ramamurthy Nagar,3 BHK,18-May,3,1,0,,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,8405000,1405,Whitefield Hope Farm Junction,2 BHK,Ready To Move,1,1,1,Itelaa ,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Built-up  Area,3506000,660,Electronic City Phase 1,3 BHK,20-Dec,3,1,1,,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,7700000,1362,Yelahanka,2 BHK,17-Oct,2,1,1,ViistLa,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,9369000,1735,Anjanapura,3 BHK,Ready To Move,2,1,1,KBityo ,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,8716000,1575,Jalahalli,4 BHK,19-Dec,4,1,1,LedorSa,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Super built-up  Area,5394000,1120,Kasavanahalli,3 BHK,Ready To Move,2,1,1,Prityel,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,6367000,1415,Whitefield Hope Farm Junction,3 BHK,Ready To Move,2,1,1,Mahosya,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,5080000,1270,Bommasandra,3 BHK,Ready To Move,3,1,1,GrrvaGr,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Built-up  Area,7209999,1311,Bellandur,3 BHK,Ready To Move,3,1,1,Kantsce,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,5700000,1210,RR Nagar,2 BHK,21-Dec,2,1,1,PrarePa,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,12400000,1705,Whitefield Hope Farm Junction,2 BHK,Ready To Move,2,1,1,,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Super built-up  Area,4900000,1187,Begur,3 BHK,Ready To Move,3,1,1,Dieldli,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Super built-up  Area,30000000,3340,JP Nagar Phase 1,3 BHK,Ready To Move,2,1,1,,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Built-up  Area,7888000,1045,Dasarahalli on Tumkur Road,2 BHK,Ready To Move,2,1,1,,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
