id,area_type,price,total_sqft,location,size,availability,bath,balcony,society,YearBuilt,YearRemodAdd,MoSold,YrSold,MSSubClass,LotFrontage,1stFlrSF,2ndFlrSF,Gymnasium,LandscapedGardens,ATM,School,CarParking,Hospital,OverallQual,OverallCond,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea
1,Super built-up  Area,10500000,1200,Sector 10 Dwarka,2 BHK,19-Dec,3,1,CollgCr,2003,2003,2,2020,60,65,856,854,1,0,0,0,1,0,7,5,196,706,0,150,856,856,854,0,1710
2,Plot  Area,6000000,1000,Uttam Nagar,4 Bedroom,Ready To Move,2,1,Veenker,1976,1976,5,2020,20,80,1262,0,0,0,0,0,1,0,6,8,0,978,0,284,1262,1262,0,0,1262
3,Built-up  Area,15000000,1350,Sarita Vihar,3 BHK,Ready To Move,2,1,CollgCr,2001,2002,9,2018,60,68,920,866,0,0,0,0,0,0,7,5,162,486,0,434,920,920,866,0,1786
4,Super built-up  Area,2500000,435,Uttam Nagar,3 BHK,Ready To Move,2,0,Crawfor,1915,1970,2,2019,70,60,961,756,0,0,0,0,1,0,7,5,0,216,0,540,756,961,756,0,1717
5,Super built-up  Area,5800000,900,Dwarka Mor,2 BHK,Ready To Move,1,1,NoRidge,2000,2000,12,2020,60,84,1145,1053,0,0,0,0,1,0,8,5,350,655,0,490,1145,1145,1053,0,2198
6,Super built-up  Area,15800000,1800,Sector 7 Dwarka,2 BHK,Ready To Move,2,1,Mitchel,1993,1995,10,2020,50,85,796,566,1,0,0,0,1,0,5,5,0,732,0,64,796,796,566,0,1362
7,Super built-up  Area,15400000,1500,Sector 6 Dwarka,4 BHK,18-May,1,1,Somerst,2004,2005,8,2019,20,75,1694,0,0,0,0,0,0,0,8,5,186,1369,0,317,1686,1694,0,0,1694
8,Super built-up  Area,13500000,1800,Sector 5 Dwarka,4 BHK,Ready To Move,2,1,NWAmes,1973,1973,11,2018,60,NA,1107,983,1,0,0,0,0,0,7,6,240,859,32,216,1107,1107,983,0,2090
9,Super built-up  Area,6500000,1000,Sector 23 Rohini,3 BHK,Ready To Move,2,1,OldTown,1931,1950,4,2015,50,51,1022,752,0,0,0,0,1,0,7,5,0,0,0,952,952,1022,752,0,1774
10,Plot  Area,12500000,1300,Mayur Vihar II,6 Bedroom,Ready To Move,2,1,BrkSide,1939,1950,1,2016,190,50,1077,0,0,0,0,0,0,0,5,6,0,851,0,140,991,1077,0,0,1077
11,Super built-up  Area,11000000,1000,Sector 24 Rohini,3 BHK,18-Feb,1,1,Sawyer,1965,1965,2,2020,20,70,1040,0,0,0,0,0,1,0,5,5,0,906,0,134,1040,1040,0,0,1040
12,Plot  Area,12500000,1550,Sector 11 Dwarka,4 Bedroom,Ready To Move,1,1,NridgHt,2005,2006,7,2020,60,85,1182,1142,0,0,0,0,0,0,9,5,286,998,0,177,1175,1182,1142,0,2324
13,Super built-up  Area,14800000,1800,Sector 23 Dwarka,2 BHK,Ready To Move,3,1,Sawyer,1962,1962,9,2020,20,NA,912,0,0,0,0,0,0,0,5,6,0,737,0,175,912,912,0,0,912
14,Built-up  Area,12500000,600,Sector 12 Dwarka,2 BHK,Ready To Move,1,1,CollgCr,2006,2007,8,2019,20,91,1494,0,0,0,0,0,0,0,7,5,306,0,0,1494,1494,1494,0,0,1494
15,Plot  Area,3300000,385,Sector 23 Dwarka,3 Bedroom,Ready To Move,2,1,NAmes,1960,1960,5,2019,20,NA,1253,0,0,0,0,0,0,0,6,5,212,733,0,520,1253,1253,0,0,1253
16,Super built-up  Area,110000000,2500,West End,2 BHK,Ready To Move,1,1,BrkSide,1929,2001,7,2018,45,51,854,0,0,0,0,0,0,0,7,8,0,0,0,832,832,854,0,0,854
17,Super built-up  Area,5000000,1000,Dwarka Mor,3 BHK,Ready To Move,1,1,NAmes,1970,1970,3,2015,20,NA,1004,0,0,0,0,0,0,0,6,7,180,578,0,426,1004,1004,0,0,1004
18,Super built-up  Area,17500000,1300,Sector 9 Rohini,3 BHK,Ready To Move,1,1,Sawyer,1967,1967,10,2014,90,72,1296,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1296,0,0,1296
19,Super built-up  Area,3600000,1050,Mundka,3 BHK,Ready To Move,2,1,SawyerW,2004,2004,6,2014,20,66,1114,0,0,0,0,0,0,0,5,5,0,646,0,468,1114,1114,0,0,1114
20,Super built-up  Area,16500000,1600,Sector 6 Dwarka,2 BHK,Ready To Move,1,1,NAmes,1958,1965,5,2017,20,70,1339,0,0,0,0,0,0,0,5,6,0,504,0,525,1029,1339,0,0,1339
21,Built-up  Area,10500000,1200,Sector 10 Dwarka,1 BHK,Ready To Move,1,1,NridgHt,2005,2006,11,2017,60,101,1158,1218,1,0,0,0,1,0,8,5,380,0,0,1158,1158,1158,1218,0,2376
22,Super built-up  Area,6000000,1000,Uttam Nagar,3 BHK,19-Dec,3,0,IDOTRR,1930,1950,6,2017,45,57,1108,0,0,0,0,0,1,0,7,7,0,0,0,637,637,1108,0,0,1108
23,Plot  Area,15000000,1350,Sarita Vihar,4 Bedroom,Ready To Move,1,1,CollgCr,2002,2002,9,2018,20,75,1795,0,0,0,0,0,0,0,8,5,281,0,0,1777,1777,1795,0,0,1795
24,Super built-up  Area,2500000,435,Uttam Nagar,3 BHK,Ready To Move,2,1,MeadowV,1976,1976,6,2018,120,44,1060,0,0,0,0,0,1,0,5,7,0,840,0,200,1040,1060,0,0,1060
25,Super built-up  Area,5800000,900,Dwarka Mor,1 RK,18-Nov,1,1,Sawyer,1968,2001,5,2016,20,NA,1060,0,0,0,0,0,1,0,5,8,0,188,668,204,1060,1060,0,0,1060
26,Super built-up  Area,15800000,1800,Sector 7 Dwarka,3 BHK,18-May,1,1,NridgHt,2007,2007,7,2016,20,110,1600,0,1,0,0,0,1,0,8,5,640,0,0,1566,1566,1600,0,0,1600
27,Super built-up  Area,15400000,1500,Sector 6 Dwarka,2 BHK,Ready To Move,2,1,NAmes,1951,2000,5,2015,20,60,900,0,0,0,0,0,0,0,5,7,0,234,486,180,900,900,0,0,900
