area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Kakkanad,2 BHK,CollgCr,1200,2,1,7200000
Super built-up  Area,19-Dec,Kakkanad,2 BHK,CollgCr,1200,2,1,7200000
Plot  Area,Ready To Move,Pukkattupady,4 Bedroom,Veenker,1000,5,3,6000000
Built-up  Area,Ready To Move,Kaloor,3 BHK,,1350,2,3,8100000
Super built-up  Area,Ready To Move,Aluva,3 BHK,Crawfor,1435,3,1,8610000
Super built-up  Area,Ready To Move,Edappally,2 BHK,NoRidge,1900,2,1,11400000
Super built-up  Area,Ready To Move,Marine Drive,2 BHK,Mitchel,1800,2,1,10800000
Super built-up  Area,18-May,Eroor,4 BHK,Somerst,1500,4,,9000000
Super built-up  Area,Ready To Move,Kadavanthra,4 BHK,NWAmes,1800,4,,10800000
Super built-up  Area,Ready To Move,Thripunithura,3 BHK,OldTown,1000,3,1,6000000
Plot  Area,Ready To Move,Kuzhivelippady,6 Bedroom,BrkSide,1300,6,,7800000
Super built-up  Area,18-Feb,Vypin Pallipuram Road,3 BHK,Sawyer,3000,2,2,18000000
Plot  Area,Ready To Move,Elamakkara,4 Bedroom,NridgHt,1500,5,3,9000000
Super built-up  Area,Ready To Move,Vennala,2 BHK,Sawyer,1800,2,1,10800000
Built-up  Area,Ready To Move,Panampilly Nagar,2 BHK,CollgCr,2000,2,2,12000000
Plot  Area,Ready To Move,Perumbavoor,3 Bedroom,NAmes,5000,3,2,30000000
Super built-up  Area,Ready To Move,Kalamassery,2 BHK,BrkSide,2500,2,2,15000000
Super built-up  Area,Ready To Move,Maradu,3 BHK,NAmes,1500,3,2,9000000
Super built-up  Area,Ready To Move,chendamangalam,3 BHK,Sawyer,1300,3,3,7800000
Super built-up  Area,Ready To Move,Kakkanad Pallikara Road,3 BHK,SawyerW,1050,4,2,6300000
Super built-up  Area,Ready To Move,vyttila,2 BHK,NAmes,1600,2,2,9600000
Built-up  Area,Ready To Move,Vytilla,1 BHK,NridgHt,1200,1,1,7200000
Super built-up  Area,19-Dec,Angamaly,3 BHK,IDOTRR,3500,3,1,21000000
Plot  Area,Ready To Move,Thammanam,4 Bedroom,CollgCr,2100 - 2850,5,2,8547000
Super built-up  Area,Ready To Move,Thevara,3 BHK,MeadowV,4350,3,1,26100000
Super built-up  Area,18-Nov,Vazhakkala,1 RK,Sawyer,1900,1,0,11400000
Super built-up  Area,18-May,Pallikkara,3 BHK,NridgHt,1800,3,2,10800000
Super built-up  Area,Ready To Move,Thevakkal,2 BHK,NAmes,3500,1,1,21000000
Built-up  Area,20-Dec,Palarivattom,3 BHK,NridgHt,4800,3,2,28800000
Super built-up  Area,17-Oct,Thrikkakara,2 BHK,NAmes,5000,2,2,30000000
Super built-up  Area,Ready To Move,Nedumbassery,3 BHK,BrkSide,1300,2,1,7800000
Super built-up  Area,19-Dec,Ernakulam South,4 BHK,IDOTRR,2000,4,0,12000000
Super built-up  Area,Ready To Move,Padamughal,3 BHK,Sawyer,1258,2,1,7548000
Super built-up  Area,Ready To Move,Thykoodam,3 BHK,CollgCr,1800,2,2,10800000
Super built-up  Area,Ready To Move,Elamkulam,3 BHK,NAmes,1600,3,3,9600000
Built-up  Area,Ready To Move,Edathala,3 BHK,NridgHt,1385,3,,8310000
Super built-up  Area,21-Dec,Kangarappady,2 BHK,NridgHt,2500,2,1,15000000
Super built-up  Area,Ready To Move,Mamangalam,2 BHK,CollgCr,2000,2,1,12000000
Super built-up  Area,Ready To Move,Varapuzha,3 BHK,NAmes,1300,3,2,7800000
Super built-up  Area,Ready To Move,Mulanthuruthy,3 BHK,NAmes,4500,2,2,27000000
Built-up  Area,Ready To Move,Kathrikadavu,2 BHK,Edwards,1600,2,2,9600000
Built-up  Area,Ready To Move,Kurlad Anganvadi Road,2 BHK,NAmes,1000,2,,6000000
Super built-up  Area,19-Dec,other,3 BHK,Timber,1630,3,2,9780000
Super built-up  Area,Ready To Move,Kacheripady,1 BHK,SawyerW,2000,1,0,12000000
Plot  Area,Ready To Move,Cheranalloor,1 Bedroom,CollgCr,1330.74,1,0,7984440
Super built-up  Area,19-Sep,Chambakkara Kannadikadu Road,2 BHK,NAmes,1350,2,2,8100000
Plot  Area,Ready To Move,Chottanikkara,8 Bedroom,NridgHt,1500,9,,9000000
Super built-up  Area,Ready To Move,High Court Road,2 BHK,Mitchel,1600,2,0,9600000
Super built-up  Area,20-Sep,Infopark,2 BHK,Somerst,2900,2,1,17400000
Plot  Area,Ready To Move,Kannankulangara,2 Bedroom,OldTown,1200,1,1,7200000
Built-up  Area,Ready To Move,Keerthi Nagar Road,2 BHK,,2255,2,1,13530000
Super built-up  Area,Ready To Move,Kochi,2 BHK,Gilbert,1400,2,1,8400000
Super built-up  Area,18-Mar,Kundannoor,3 BHK,BrkSide,1500,3,1,9000000
Built-up  Area,Ready To Move,Manjummel,3 BHK,IDOTRR,1600,3,2,9600000
Super built-up  Area,Ready To Move,Puthiyakavu,2 BHK,Veenker,2700,2,2,16200000
Super built-up  Area,Ready To Move,Sahodaran Ayyappan Road,3 BHK,NAmes,1200,2,3,7200000
Super built-up  Area,Ready To Move,Shenoys,2 BHK,NAmes,4600,2,2,27600000
Built-up  Area,20-Feb,Thengode Edachira Road,4 Bedroom,Somerst,1650,,,9900000
Super built-up  Area,Ready To Move,Thiruvankulam Chottanikkara Road,2 BHK,CollgCr,5520,2,2,33120000
Plot  Area,Ready To Move,Thottakkattukara,6 Bedroom,StoneBr,3900,4,1,23400000
Super built-up  Area,Ready To Move,Pallimukku,2 BHK,CollgCr,3010 - 3410,2,2,8552000
Plot  Area,Ready To Move,Perumanoor,3 Bedroom,SawyerW,4500,3,2,27000000
Super built-up  Area,Ready To Move,Chittoor Road,2 BHK,IDOTRR,1551,2,1,9306000
