price,area1,location,area_type,size,availability,bath,balcony,society,ShoppingMall,Intercom,ATM,School,CarParking,Hospital,YearBuilt,YearRemodAdd,MoSold,YrSold,LotFrontage,1stFlrSF,2ndFlrSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,KitchenAbvGr,total_sqft
5940000,720,Kharghar,Super built-up  Area,2 BHK,19-Dec,1,1,Edwards,0,0,0,0,1,0,1952,1952,7,2009,74,944,0,0,944,0,944,1,1320
5400000,600,Kharghar,Plot  Area,4 Bedroom,Ready To Move,1,1,OldTown,0,0,0,0,1,0,1920,1950,1,2007,60,691,0,691,691,0,691,1,1200
5625000,650,Kharghar,Built-up  Area,3 BHK,Ready To Move,1,1,Somerst,0,1,0,0,1,0,2006,2006,7,2008,75,1574,0,1574,1574,0,1574,1,1250
5625000,650,Kharghar,Super built-up  Area,3 BHK,Ready To Move,1,0,NWAmes,0,1,0,0,1,0,1976,1976,6,2007,75,1680,0,1680,1680,0,1680,2,1250
5692500,665,Kharghar,Super built-up  Area,2 BHK,Ready To Move,1,1,Blmngtn,0,1,0,0,1,0,2005,2006,5,2009,43,1504,0,1346,1504,0,1504,1,1265
11700000,2000,Kharghar,Super built-up  Area,2 BHK,Ready To Move,4,1,CollgCr,1,1,1,1,1,1,1977,1977,11,2008,65,985,0,985,985,0,985,1,2600
9675000,1550,Kharghar,Super built-up  Area,4 BHK,18-May,3,1,NAmes,0,1,0,0,1,0,1970,1970,3,2007,20,1657,0,1657,1657,0,1657,1,2150
8865000,1370,Sector-13 Kharghar,Super built-up  Area,4 BHK,Ready To Move,3,1,MeadowV,0,1,0,0,1,0,1970,1970,8,2009,21,546,546,546,546,546,1092,1,1970
8802000,1356,Kharghar,Super built-up  Area,3 BHK,Ready To Move,3,1,Mitchel,0,1,0,0,1,0,2004,2005,4,2009,43,1710,0,1710,1710,0,1710,1,1956
10260000,1680,Kharghar,Plot  Area,6 Bedroom,Ready To Move,3,1,SWISU,1,1,1,1,1,1,1926,1950,6,2006,60,1008,0,1008,1008,0,1522,1,2280
7110000,980,Kharghar,Super built-up  Area,3 BHK,18-Feb,2,1,Sawyer,1,1,1,1,1,1,1948,1950,8,2008,115,720,551,720,720,551,1271,1,1580
7200000,1000,Kharghar,Plot  Area,4 Bedroom,Ready To Move,2,1,Edwards,0,1,0,0,1,0,1965,1965,5,2010,75,1664,0,0,1664,0,1664,2,1600
7470000,1060,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,1,Crawfor,1,1,1,0,1,0,1923,1996,8,2007,55,900,602,602,900,602,1502,1,1660
7627500,1095,Kharghar,Built-up  Area,2 BHK,Ready To Move,2,1,OldTown,0,1,0,0,1,0,1910,2006,6,2009,60,1022,0,1022,1022,0,1022,1,1695
11250000,2850,Kharghar,Plot  Area,3 Bedroom,Ready To Move,2,1,NAmes,0,1,0,0,1,0,1948,1950,11,2007,60,1082,0,1082,1082,0,1082,1,2500
7875000,1150,Kharghar,Super built-up  Area,2 BHK,Ready To Move,2,1,NWAmes,0,1,0,0,1,0,2001,2001,11,2009,70,810,855,810,810,855,1665,1,1750
8325000,1250,Sector 18 Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,CollgCr,0,1,0,0,1,0,1996,1996,6,2009,73,1504,0,1504,1504,0,1504,1,1850
7155000,990,Kharghar,Super built-up  Area,3 BHK,Ready To Move,2,1,StoneBr,0,1,0,0,1,0,1984,1984,8,2009,22,1360,0,1220,1360,0,1360,1,1590
