price,total_sqft,location,area_type,size,availability,bath,balcony,society,SwimmingPool,ShoppingMall,School,CarParking,Hospital
5500000,1310,Perungalathur,Super built-up  Area,2 BHK,19-Dec,3,1,Edwards,0,0,0,0,0
5350000,1126,Madhavaram,Plot  Area,4 Bedroom,Ready To Move,2,1,OldTown,1,0,0,0,0
8205000,1307,Karapakkam,Built-up  Area,3 BHK,Ready To Move,3,1,Somerst,1,0,0,1,0
23400000,3600,Thiruvidandhai,Super built-up  Area,3 BHK,Ready To Move,3,0,NWAmes,1,0,0,0,0
10100000,1700,Iyappanthangal,Super built-up  Area,2 BHK,Ready To Move,3,1,Blmngtn,1,0,0,0,0
2950000,576,Mevalurkuppam,Super built-up  Area,2 BHK,Ready To Move,1,1,CollgCr,1,0,0,1,0
7600000,1207,Kolapakkam,Super built-up  Area,4 BHK,18-May,3,1,NAmes,1,0,0,1,0
2234000,604,Kundrathur,Super built-up  Area,4 BHK,Ready To Move,2,1,MeadowV,0,0,0,1,0
5521000,986,Pammal,Super built-up  Area,3 BHK,Ready To Move,2,1,Mitchel,0,0,0,0,0
6321000,1345,Puzhal,Plot  Area,6 Bedroom,Ready To Move,3,1,SWISU,1,0,0,1,0
3404000,510,Selaiyur,Super built-up  Area,3 BHK,18-Feb,1,1,Sawyer,0,0,0,0,0
11600000,1508,Thoraipakkam OMR,Plot  Area,4 Bedroom,Ready To Move,3,1,Edwards,1,0,0,1,0
6536000,1245,Karapakkam,Super built-up  Area,2 BHK,Ready To Move,2,1,Crawfor,1,0,0,1,0
24200000,1565,Anna Nagar,Built-up  Area,2 BHK,Ready To Move,3,1,OldTown,0,0,0,0,0
8162000,1306,Mogappair,Plot  Area,3 Bedroom,Ready To Move,2,1,NAmes,1,0,0,0,0
6190000,1113,Sholinganallur,Super built-up  Area,2 BHK,Ready To Move,2,1,NWAmes,0,0,0,0,0
9613000,1479,Mogappair,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,1,0,0,1,0
7542000,1640,Sholinganallur,Super built-up  Area,3 BHK,Ready To Move,3,1,StoneBr,1,1,1,1,1
6338000,1112,Medavakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,Gilbert,0,0,0,0,0
2724000,645,Avadi,Super built-up  Area,2 BHK,Ready To Move,2,1,Blmngtn,1,0,0,0,0
5500000,1310,Perungalathur,Built-up  Area,1 BHK,Ready To Move,3,1,Edwards,0,0,0,0,0
5350000,1126,Madhavaram,Super built-up  Area,3 BHK,19-Dec,2,0,CollgCr,1,0,0,0,0
8205000,1307,Karapakkam,Plot  Area,4 Bedroom,Ready To Move,3,1,OldTown,1,0,0,1,0
23400000,3600,Thiruvidandhai,Super built-up  Area,3 BHK,Ready To Move,3,1,Blmngtn,1,0,0,0,0
10100000,1700,Iyappanthangal,Super built-up  Area,1 RK,18-Nov,3,1,Timber,1,0,0,0,0
2950000,576,Mevalurkuppam,Super built-up  Area,3 BHK,18-May,1,1,CollgCr,1,0,0,1,0
7600000,1207,Kolapakkam,Super built-up  Area,2 BHK,Ready To Move,3,1,NAmes,1,0,0,1,0
2234000,604,Kundrathur,Built-up  Area,3 BHK,20-Dec,2,1,Timber,0,0,0,1,0
5521000,986,Pammal,Super built-up  Area,2 BHK,17-Oct,2,1,NAmes,0,0,0,0,0
6321000,1345,Puzhal,Super built-up  Area,3 BHK,Ready To Move,3,1,BrDale,1,0,0,1,0
3404000,510,Selaiyur,Super built-up  Area,4 BHK,19-Dec,1,1,SWISU,0,0,0,0,0
11600000,1508,Thoraipakkam OMR,Super built-up  Area,3 BHK,Ready To Move,3,1,SWISU,1,0,0,1,0
6536000,1245,Karapakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,NoRidge,1,0,0,1,0
24200000,1565,Anna Nagar,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,0,0,0,0,0
8162000,1306,Mogappair,Built-up  Area,3 BHK,Ready To Move,2,1,Crawfor,1,0,0,0,0
6190000,1113,Sholinganallur,Super built-up  Area,2 BHK,21-Dec,2,1,Edwards,0,0,0,0,0
9613000,1479,Mogappair,Super built-up  Area,2 BHK,Ready To Move,3,1,Timber,1,0,0,1,0
7542000,1640,Sholinganallur,Super built-up  Area,3 BHK,Ready To Move,3,1,CollgCr,1,1,1,1,1
6338000,1112,Medavakkam,Super built-up  Area,3 BHK,Ready To Move,2,1,MeadowV,0,0,0,0,0
2724000,645,Avadi,Built-up  Area,2 BHK,Ready To Move,2,1,MeadowV,1,0,0,0,0
3388000,738,Tiruvottiyur,Built-up  Area,2 BHK,Ready To Move,2,1,Sawyer,0,0,0,0,0
3175000,804,Perungalathur,Super built-up  Area,3 BHK,19-Dec,2,0,NWAmes,0,0,0,0,0
19100000,2474,Iyappanthangal,Super built-up  Area,1 BHK,Ready To Move,4,1,NridgHt,1,1,1,1,1
